claim_id,seed,guard_mode,attack_class,theta,mutation_rate,false_accept_rate,false_reject_rate,far,frr,far_contraction_ratio,trace_hash_integrity_pass_rate,audit_link_completeness
HM-TH-03,43,trust_only,covered,0.85,0.05,0.184,0.107,0.184,0.107,1.0222222222222221,0.0,1.0
HM-TH-03,97,trust_only,covered,0.85,0.05,0.184,0.107,0.184,0.107,1.0222222222222221,0.0,1.0
HM-TH-03,17,trust_only,uncovered,0.55,0.0,0.26,0.10099999999999999,0.26,0.10099999999999999,1.0,1.0,1.0
HM-TH-03,31,trust_only,uncovered,0.55,0.0,0.26,0.10099999999999999,0.26,0.10099999999999999,1.0,1.0,1.0
HM-TH-03,43,trust_only,uncovered,0.55,0.0,0.26,0.10099999999999999,0.26,0.10099999999999999,1.0,1.0,1.0
HM-TH-03,97,trust_only,uncovered,0.55,0.0,0.26,0.10099999999999999,0.26,0.10099999999999999,1.0,1.0,1.0
HM-TH-03,17,trust_only,uncovered,0.55,0.01,0.26080000000000003,0.10099999999999999,0.26080000000000003,0.10099999999999999,1.0030769230769232,0.0,1.0
HM-TH-03,31,trust_only,uncovered,0.55,0.01,0.26080000000000003,0.10099999999999999,0.26080000000000003,0.10099999999999999,1.0030769230769232,0.0,1.0
HM-TH-03,43,trust_only,uncovered,0.55,0.01,0.26080000000000003,0.10099999999999999,0.26080000000000003,0.10099999999999999,1.0030769230769232,0.0,1.0
HM-TH-03,97,trust_only,uncovered,0.55,0.01,0.26080000000000003,0.10099999999999999,0.26080000000000003,0.10099999999999999,1.0030769230769232,0.0,1.0
HM-TH-03,17,trust_only,uncovered,0.55,0.05,0.264,0.10099999999999999,0.264,0.10099999999999999,1.0153846153846153,0.0,1.0
HM-TH-03,31,trust_only,uncovered,0.55,0.05,0.264,0.10099999999999999,0.264,0.10099999999999999,1.0153846153846153,0.0,1.0
HM-TH-03,43,trust_only,uncovered,0.55,0.05,0.264,0.10099999999999999,0.264,0.10099999999999999,1.0153846153846153,0.0,1.0
HM-TH-03,97,trust_only,uncovered,0.55,0.05,0.264,0.10099999999999999,0.264,0.10099999999999999,1.0153846153846153,0.0,1.0
HM-TH-03,17,trust_only,uncovered,0.7,0.0,0.26,0.104,0.26,0.104,1.0,1.0,1.0
HM-TH-03,31,trust_only,uncovered,0.7,0.0,0.26,0.104,0.26,0.104,1.0,1.0,1.0
HM-TH-03,43,trust_only,uncovered,0.7,0.0,0.26,0.104,0.26,0.104,1.0,1.0,1.0
HM-TH-03,97,trust_only,uncovered,0.7,0.0,0.26,0.104,0.26,0.104,1.0,1.0,1.0
HM-TH-03,17,trust_only,uncovered,0.7,0.01,0.26080000000000003,0.104,0.26080000000000003,0.104,1.0030769230769232,0.0,1.0
HM-TH-03,31,trust_only,uncovered,0.7,0.01,0.26080000000000003,0.104,0.26080000000000003,0.104,1.0030769230769232,0.0,1.0
HM-TH-03,43,trust_only,uncovered,0.7,0.01,0.26080000000000003,0.104,0.26080000000000003,0.104,1.0030769230769232,0.0,1.0
HM-TH-03,97,trust_only,uncovered,0.7,0.01,0.26080000000000003,0.104,0.26080000000000003,0.104,1.0030769230769232,0.0,1.0
HM-TH-03,17,trust_only,uncovered,0.7,0.05,0.264,0.104,0.264,0.104,1.0153846153846153,0.0,1.0
HM-TH-03,31,trust_only,uncovered,0.7,0.05,0.264,0.104,0.264,0.104,1.0153846153846153,0.0,1.0
HM-TH-03,43,trust_only,uncovered,0.7,0.05,0.264,0.104,0.264,0.104,1.0153846153846153,0.0,1.0
HM-TH-03,97,trust_only,uncovered,0.7,0.05,0.264,0.104,0.264,0.104,1.0153846153846153,0.0,1.0
HM-TH-03,17,trust_only,uncovered,0.85,0.0,0.26,0.107,0.26,0.107,1.0,1.0,1.0
HM-TH-03,31,trust_only,uncovered,0.85,0.0,0.26,0.107,0.26,0.107,1.0,1.0,1.0
HM-TH-03,43,trust_only,uncovered,0.85,0.0,0.26,0.107,0.26,0.107,1.0,1.0,1.0
HM-TH-03,97,trust_only,uncovered,0.85,0.0,0.26,0.107,0.26,0.107,1.0,1.0,1.0
HM-TH-03,17,trust_only,uncovered,0.85,0.01,0.26080000000000003,0.107,0.26080000000000003,0.107,1.0030769230769232,0.0,1.0
HM-TH-03,31,trust_only,uncovered,0.85,0.01,0.26080000000000003,0.107,0.26080000000000003,0.107,1.0030769230769232,0.0,1.0
HM-TH-03,43,trust_only,uncovered,0.85,0.01,0.26080000000000003,0.107,0.26080000000000003,0.107,1.0030769230769232,0.0,1.0
HM-TH-03,97,trust_only,uncovered,0.85,0.01,0.26080000000000003,0.107,0.26080000000000003,0.107,1.0030769230769232,0.0,1.0
HM-TH-03,17,trust_only,uncovered,0.85,0.05,0.264,0.107,0.264,0.107,1.0153846153846153,0.0,1.0
HM-TH-03,31,trust_only,uncovered,0.85,0.05,0.264,0.107,0.264,0.107,1.0153846153846153,0.0,1.0
HM-TH-03,43,trust_only,uncovered,0.85,0.05,0.264,0.107,0.264,0.107,1.0153846153846153,0.0,1.0
HM-TH-03,97,trust_only,uncovered,0.85,0.05,0.264,0.107,0.264,0.107,1.0153846153846153,0.0,1.0
HM-TH-03,17,protocol_only,covered,0.55,0.0,0.11,0.1265,0.11,0.1265,0.6111111111111112,1.0,1.0
HM-TH-03,31,protocol_only,covered,0.55,0.0,0.11,0.1265,0.11,0.1265,0.6111111111111112,1.0,1.0
HM-TH-03,43,protocol_only,covered,0.55,0.0,0.11,0.1265,0.11,0.1265,0.6111111111111112,1.0,1.0
HM-TH-03,97,protocol_only,covered,0.55,0.0,0.11,0.1265,0.11,0.1265,0.6111111111111112,1.0,1.0
HM-TH-03,17,protocol_only,covered,0.55,0.01,0.1108,0.1265,0.1108,0.1265,0.6155555555555555,0.0,1.0
HM-TH-03,31,protocol_only,covered,0.55,0.01,0.1108,0.1265,0.1108,0.1265,0.6155555555555555,0.0,1.0
HM-TH-03,43,protocol_only,covered,0.55,0.01,0.1108,0.1265,0.1108,0.1265,0.6155555555555555,0.0,1.0
HM-TH-03,97,protocol_only,covered,0.55,0.01,0.1108,0.1265,0.1108,0.1265,0.6155555555555555,0.0,1.0
HM-TH-03,17,protocol_only,covered,0.55,0.05,0.114,0.1265,0.114,0.1265,0.6333333333333334,0.0,1.0
HM-TH-03,31,protocol_only,covered,0.55,0.05,0.114,0.1265,0.114,0.1265,0.6333333333333334,0.0,1.0
HM-TH-03,43,protocol_only,covered,0.55,0.05,0.114,0.1265,0.114,0.1265,0.6333333333333334,0.0,1.0
HM-TH-03,97,protocol_only,covered,0.55,0.05,0.114,0.1265,0.114,0.1265,0.6333333333333334,0.0,1.0
HM-TH-03,17,protocol_only,covered,0.7,0.0,0.11,0.131,0.11,0.131,0.6111111111111112,1.0,1.0
HM-TH-03,31,protocol_only,covered,0.7,0.0,0.11,0.131,0.11,0.131,0.6111111111111112,1.0,1.0
HM-TH-03,43,protocol_only,covered,0.7,0.0,0.11,0.131,0.11,0.131,0.6111111111111112,1.0,1.0
HM-TH-03,97,protocol_only,covered,0.7,0.0,0.11,0.131,0.11,0.131,0.6111111111111112,1.0,1.0
HM-TH-03,17,protocol_only,covered,0.7,0.01,0.1108,0.131,0.1108,0.131,0.6155555555555555,0.0,1.0
HM-TH-03,31,protocol_only,covered,0.7,0.01,0.1108,0.131,0.1108,0.131,0.6155555555555555,0.0,1.0
HM-TH-03,43,protocol_only,covered,0.7,0.01,0.1108,0.131,0.1108,0.131,0.6155555555555555,0.0,1.0
HM-TH-03,97,protocol_only,covered,0.7,0.01,0.1108,0.131,0.1108,0.131,0.6155555555555555,0.0,1.0
HM-TH-03,17,protocol_only,covered,0.7,0.05,0.114,0.131,0.114,0.131,0.6333333333333334,0.0,1.0
HM-TH-03,31,protocol_only,covered,0.7,0.05,0.114,0.131,0.114,0.131,0.6333333333333334,0.0,1.0
HM-TH-03,43,protocol_only,covered,0.7,0.05,0.114,0.131,0.114,0.131,0.6333333333333334,0.0,1.0
HM-TH-03,97,protocol_only,covered,0.7,0.05,0.114,0.131,0.114,0.131,0.6333333333333334,0.0,1.0
HM-TH-03,17,protocol_only,covered,0.85,0.0,0.11,0.1355,0.11,0.1355,0.6111111111111112,1.0,1.0
HM-TH-03,31,protocol_only,covered,0.85,0.0,0.11,0.1355,0.11,0.1355,0.6111111111111112,1.0,1.0
HM-TH-03,43,protocol_only,covered,0.85,0.0,0.11,0.1355,0.11,0.1355,0.6111111111111112,1.0,1.0
HM-TH-03,97,protocol_only,covered,0.85,0.0,0.11,0.1355,0.11,0.1355,0.6111111111111112,1.0,1.0
HM-TH-03,17,protocol_only,covered,0.85,0.01,0.1108,0.1355,0.1108,0.1355,0.6155555555555555,0.0,1.0
HM-TH-03,31,protocol_only,covered,0.85,0.01,0.1108,0.1355,0.1108,0.1355,0.6155555555555555,0.0,1.0
HM-TH-03,43,protocol_only,covered,0.85,0.01,0.1108,0.1355,0.1108,0.1355,0.6155555555555555,0.0,1.0
HM-TH-03,97,protocol_only,covered,0.85,0.01,0.1108,0.1355,0.1108,0.1355,0.6155555555555555,0.0,1.0
HM-TH-03,17,protocol_only,covered,0.85,0.05,0.114,0.1355,0.114,0.1355,0.6333333333333334,0.0,1.0
HM-TH-03,31,protocol_only,covered,0.85,0.05,0.114,0.1355,0.114,0.1355,0.6333333333333334,0.0,1.0
HM-TH-03,43,protocol_only,covered,0.85,0.05,0.114,0.1355,0.114,0.1355,0.6333333333333334,0.0,1.0
HM-TH-03,97,protocol_only,covered,0.85,0.05,0.114,0.1355,0.114,0.1355,0.6333333333333334,0.0,1.0
HM-TH-03,17,protocol_only,covered,0.55,0.0,0.11,0.1265,0.11,0.1265,0.6111111111111112,1.0,1.0
HM-TH-03,31,protocol_only,covered,0.55,0.0,0.11,0.1265,0.11,0.1265,0.6111111111111112,1.0,1.0
HM-TH-03,43,protocol_only,covered,0.55,0.0,0.11,0.1265,0.11,0.1265,0.6111111111111112,1.0,1.0
HM-TH-03,97,protocol_only,covered,0.55,0.0,0.11,0.1265,0.11,0.1265,0.6111111111111112,1.0,1.0
HM-TH-03,17,protocol_only,covered,0.55,0.01,0.1108,0.1265,0.1108,0.1265,0.6155555555555555,0.0,1.0
HM-TH-03,31,protocol_only,covered,0.55,0.01,0.1108,0.1265,0.1108,0.1265,0.6155555555555555,0.0,1.0
HM-TH-03,43,protocol_only,covered,0.55,0.01,0.1108,0.1265,0.1108,0.1265,0.6155555555555555,0.0,1.0
HM-TH-03,97,protocol_only,covered,0.55,0.01,0.1108,0.1265,0.1108,0.1265,0.6155555555555555,0.0,1.0
HM-TH-03,17,protocol_only,covered,0.55,0.05,0.114,0.1265,0.114,0.1265,0.6333333333333334,0.0,1.0
HM-TH-03,31,protocol_only,covered,0.55,0.05,0.114,0.1265,0.114,0.1265,0.6333333333333334,0.0,1.0
HM-TH-03,43,protocol_only,covered,0.55,0.05,0.114,0.1265,0.114,0.1265,0.6333333333333334,0.0,1.0
HM-TH-03,97,protocol_only,covered,0.55,0.05,0.114,0.1265,0.114,0.1265,0.6333333333333334,0.0,1.0
